Round,LEACH,PEGASIS,HYBRID,PSO_HYBRID
1,0.49706825645600156,0.49840280131445136,0.49847858825239233,0.6987663097466316
2,0.49359059971607144,0.49688634459791703,0.49700712585691853,0.6975973092904059
3,0.4906773801459002,0.4954401431680167,0.49603383790592004,0.6964601460947542
4,0.4884670786056183,0.49407060099190026,0.49465736709057134,0.6953228705685849
5,0.486611272735576,0.49264988726115455,0.4939169438953643,0.694216791014367
6,0.48453771576497906,0.4912101725049293,0.49258486836893994,0.6931037676699616
7,0.4825965170904206,0.4897090476190855,0.49049787149492813,0.6919047561813696
8,0.47964179125533896,0.4883240382429411,0.4901102603294985,0.6908336410801844
9,0.47650001057150865,0.4869973162913725,0.48900144937231826,0.6896212047590012
10,0.4740689569976052,0.48573218817503167,0.48780973010175616,0.6885911188333388
11,0.4717479883553269,0.48445195649105116,0.4870908354169594,0.6875988646935454
12,0.4693372208501135,0.4832892840621955,0.486735123328826,0.6865794280830797
13,0.4669881719574128,0.48210583527072054,0.48632258527648803,0.6852517881015724
14,0.4644048420329526,0.48096791499663993,0.4858611052592488,0.6840593205921229
15,0.4624184976360203,0.47986810632017374,0.48526612354622595,0.6829166805267007
16,0.4594942922985366,0.4787864756865116,0.48413399967810733,0.6819456895850897
17,0.4558731584135011,0.47769888089623186,0.48272355131099703,0.6805620979914313
18,0.4532121896878483,0.4765899528053263,0.4804199783716181,0.6794759992875773
19,0.4494593925835876,0.4754952188679385,0.4782832888242574,0.6782007948823499
20,0.4476362735462971,0.47439921463608686,0.4756334498413154,0.6771485754934357
21,0.44514436062670515,0.47326134688399213,0.4738868002906837,0.6760506587529832
22,0.44219322755779616,0.47211056535022783,0.47300787808336137,0.6751006549189686
23,0.4393934485234833,0.47091098259644587,0.47198516733388796,0.6737228913932811
24,0.43640314202904074,0.4696842558047306,0.47143685914369,0.672679177831764
25,0.43347362582572835,0.46842725727226486,0.4707779160176297,0.6714360577150167
26,0.42863651982362433,0.46718291060196393,0.47047220902182674,0.6702199468622423
27,0.42582380926464525,0.46580402324269454,0.47016650202602406,0.6692229713501987
28,0.42375318334781203,0.4643401842763465,0.4696714536456838,0.6682227319987399
29,0.4217623006206216,0.46300839564524393,0.46920831965927756,0.6671656919275337
30,0.4202099266354983,0.46161195157919926,0.4686165484948448,0.6657788924922307
