seed,node_id,node_count,sensing_radius,deployment_type,obstacle_preset,label,residual_energy_ratio,sink_distance,neighbors_count,unique_coverage_ratio,overlap_ratio,local_density,nearest_active_dist,obstacle_blocked_ratio
1000,0,30,10.0,random,none,1,1.0,0.4093921591823664,0.0,1.0,0.0,0.0,0.15893000031460391,0.0
1000,1,30,10.0,random,none,0,1.0,0.4521717195933421,2.0,0.08974358974358974,0.9102564102564102,0.15915494309189535,0.0320331859171079,0.0
1000,2,30,10.0,random,none,1,1.0,0.9690785912401532,4.0,0.01818181818181818,0.9818181818181818,0.3183098861837907,0.027088004725339232,0.0
1000,3,30,10.0,random,none,1,1.0,0.8908160236547162,2.0,0.5443037974683544,0.45569620253164556,0.15915494309189535,0.06301571232637143,0.0
1000,4,30,10.0,random,none,1,1.0,0.81936580353344,8.0,0.14102564102564102,0.8589743589743589,0.6366197723675814,0.047912680993657634,0.0
1000,5,30,10.0,random,none,1,1.0,0.8727406120950254,0.0,1.0,0.0,0.0,0.18750169332568706,0.0
1000,6,30,10.0,random,none,1,1.0,0.5832641974268608,3.0,0.5138888888888888,0.4861111111111111,0.238732414637843,0.0657532508702041,0.0
1000,7,30,10.0,random,none,1,1.0,0.6970471949588493,3.0,0.24675324675324675,0.7532467532467533,0.238732414637843,0.030032815385840895,0.0
1000,8,30,10.0,random,none,1,1.0,0.43142335588143577,2.0,0.6962025316455697,0.3037974683544304,0.15915494309189535,0.08144814301136644,0.0
1000,9,30,10.0,random,none,0,1.0,0.8517765082461479,10.0,0.0125,0.9875,0.7957747154594768,0.047912680993657634,0.0
1000,10,30,10.0,random,none,1,1.0,0.6965263756671385,3.0,0.24358974358974358,0.7564102564102564,0.238732414637843,0.030339166105877065,0.0
1000,11,30,10.0,random,none,1,1.0,0.936673817291804,7.0,0.46774193548387094,0.532258064516129,0.5570423008216338,0.07474453157255051,0.0
1000,12,30,10.0,random,none,1,1.0,0.5203439977553311,2.0,0.3037974683544304,0.6962025316455697,0.15915494309189535,0.036227061708065694,0.0
1000,13,30,10.0,random,none,0,1.0,0.6788436668335354,4.0,0.20987654320987653,0.7901234567901234,0.3183098861837907,0.030339166105877065,0.0
1000,14,30,10.0,random,none,1,1.0,0.870824907774232,8.0,0.0,1.0,0.6366197723675814,0.0588932933363384,0.0
1000,15,30,10.0,random,none,1,1.0,0.4734911741521694,3.0,0.25,0.75,0.238732414637843,0.0320331859171079,0.0
1000,16,30,10.0,random,none,1,1.0,0.4449846109698625,0.0,1.0,0.0,0.0,0.15893000031460391,0.0
1000,17,30,10.0,random,none,1,1.0,0.9330222483949671,4.0,0.10810810810810811,0.8918918918918919,0.3183098861837907,0.023789913829184002,0.0
1000,18,30,10.0,random,none,0,1.0,0.9454222696763599,6.0,0.0,1.0,0.477464829275686,0.023789913829184002,0.0
1000,19,30,10.0,random,none,1,1.0,0.6717363887716669,2.0,0.09333333333333334,0.9066666666666666,0.15915494309189535,0.030032815385840895,0.0
1000,20,30,10.0,random,none,0,1.0,0.6383197098633253,3.0,0.014925373134328358,0.9850746268656716,0.238732414637843,0.024679647485326885,0.0
1000,21,30,10.0,random,none,1,1.0,0.8029167154817489,3.0,0.6333333333333333,0.36666666666666664,0.238732414637843,0.08664585968181049,0.0
1000,22,30,10.0,random,none,1,1.0,0.5310255624732203,2.0,0.25316455696202533,0.7468354430379747,0.15915494309189535,0.036227061708065694,0.0
1000,23,30,10.0,random,none,1,1.0,0.8187725080875639,7.0,0.13333333333333333,0.8666666666666667,0.5570423008216338,0.04020808376433775,0.0
1000,24,30,10.0,random,none,1,1.0,0.6262064196413192,6.0,0.3717948717948718,0.6282051282051282,0.477464829275686,0.06593481629609656,0.0
1000,25,30,10.0,random,none,1,1.0,0.6562287954669469,3.0,0.11764705882352941,0.8823529411764706,0.238732414637843,0.024679647485326885,0.0
1000,26,30,10.0,random,none,1,1.0,0.7021125436851274,2.0,0.961038961038961,0.03896103896103896,0.15915494309189535,0.12376536268277968,0.0
1000,27,30,10.0,random,none,1,1.0,0.8578194238882678,7.0,0.0379746835443038,0.9620253164556962,0.5570423008216338,0.0588932933363384,0.0
1000,28,30,10.0,random,none,1,1.0,0.8223626961383887,6.0,0.05063291139240506,0.9493670886075949,0.477464829275686,0.04020808376433775,0.0
